state,svf_true,svf_estimated,KL_divergence_1,KL_divergence_2
s28,0.040930007265681766,0.024587721647817796,2.1436597333157748,1.8443954545138461
s6,0.01679179785258739,0.00405022865550704,2.1436597333157748,1.8443954545138461
s34,0.011059982239444578,0.009474081562308091,2.1436597333157748,1.8443954545138461
s26,0.011867280213126665,0.004816428035312067,2.1436597333157748,1.8443954545138461
s12,0.03204972955517882,0.0011463056516122644,2.1436597333157748,1.8443954545138461
s10,0.03293775732622911,0.00524731776105224,2.1436597333157748,1.8443954545138461
s21,0.04464357794461936,0.007919209345286117,2.1436597333157748,1.8443954545138461
s27,0.029789295228868976,0.0004448442578203629,2.1436597333157748,1.8443954545138461
s25,0.023492371034148703,8.692189503146072e-05,2.1436597333157748,1.8443954545138461
s5,0.023330911439412287,0.6743061786656475,2.1436597333157748,1.8443954545138461
s37,0.023330911439412287,0.0028738738937188445,2.1436597333157748,1.8443954545138461
s20,0.024703317994671833,0.014937441868277546,2.1436597333157748,1.8443954545138461
s19,0.021797045289416325,0.011707507557158423,2.1436597333157748,1.8443954545138461
s4,0.023492371034148703,0.004716900768304329,2.1436597333157748,1.8443954545138461
s1,0.04423992895777831,0.00956742640449574,2.1436597333157748,1.8443954545138461
s33,0.04391700976830548,0.0013780468694701198,2.1436597333157748,1.8443954545138461
s7,0.03487527246306612,0.009838440519091544,2.1436597333157748,1.8443954545138461
s18,0.009364656494712199,0.02475756239462087,2.1436597333157748,1.8443954545138461
s32,0.04165657544199564,0.004427307695781195,2.1436597333157748,1.8443954545138461
s35,0.04528941632356503,0.009502402863406196,2.1436597333157748,1.8443954545138461
s24,0.02841688867360943,0.024177409098062888,2.1436597333157748,1.8443954545138461
s9,0.01663033825785097,0.003075236523021377,2.1436597333157748,1.8443954545138461
s29,0.025026237184144668,0.0022237145168345135,2.1436597333157748,1.8443954545138461
s8,0.03358359570517478,0.00028982340062814934,2.1436597333157748,1.8443954545138461
s11,0.017033987244692017,0.008541088002973637,2.1436597333157748,1.8443954545138461
s30,0.02325018164204408,0.06877456620413903,2.1436597333157748,1.8443954545138461
s0,0.033179946718333735,0.007879997497078583,2.1436597333157748,1.8443954545138461
s22,0.03495600226043433,0.0010029927642298034,2.1436597333157748,1.8443954545138461
s15,0.011382901428917413,0.0018693199156993542,2.1436597333157748,1.8443954545138461
s36,0.023492371034148703,7.768059804096834e-05,2.1436597333157748,1.8443954545138461
s17,0.024138209413094372,0.0024079197331424093,2.1436597333157748,1.8443954545138461
s13,0.03148462097360136,0.013793645567187863,2.1436597333157748,1.8443954545138461
s16,0.031565350770969565,0.0023147863627749577,2.1436597333157748,1.8443954545138461
s14,0.012513118592072334,0.012600653895151158,2.1436597333157748,1.8443954545138461
s23,0.018164204407846937,0.0010088111160128197,2.1436597333157748,1.8443954545138461
s2,0.021716315492048114,0.006768749892429792,2.1436597333157748,1.8443954545138461
s31,0.008880277710502947,0.0020534901632156353,2.1436597333157748,1.8443954545138461
s3,0.025026237184144668,0.015353966437657397,2.1436597333157748,1.8443954545138461
